# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Lite Edition
# File: C:\Users\mcgrewtj\Desktop\Processor.csv
# Generated on: Tue Dec 11 15:25:23 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
HEX3[6],Output,PIN_Y19,4,B4_N0,PIN_Y19,2.5 V,,,,,
HEX4[0],Output,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
HEX4[1],Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
HEX4[2],Output,PIN_AG21,4,B4_N2,PIN_AG21,2.5 V,,,,,
HEX4[3],Output,PIN_AH21,4,B4_N2,PIN_AH21,2.5 V,,,,,
HEX4[4],Output,PIN_AE19,4,B4_N1,PIN_AE19,2.5 V,,,,,
HEX4[5],Output,PIN_AF19,4,B4_N1,PIN_AF19,2.5 V,,,,,
HEX4[6],Output,PIN_AE18,4,B4_N2,PIN_AE18,2.5 V,,,,,
HEX5[0],Output,PIN_AD18,4,B4_N1,PIN_AD18,2.5 V,,,,,
HEX5[1],Output,PIN_AC18,4,B4_N1,PIN_AC18,2.5 V,,,,,
HEX5[2],Output,PIN_AB18,4,B4_N0,PIN_AB18,2.5 V,,,,,
HEX5[3],Output,PIN_AH19,4,B4_N2,PIN_AH19,2.5 V,,,,,
HEX5[4],Output,PIN_AG19,4,B4_N2,PIN_AG19,2.5 V,,,,,
HEX5[5],Output,PIN_AF18,4,B4_N1,PIN_AF18,2.5 V,,,,,
HEX5[6],Output,PIN_AH18,4,B4_N2,PIN_AH18,2.5 V,,,,,
HEX6[0],Output,PIN_AA17,4,B4_N1,PIN_AA17,2.5 V,,,,,
HEX6[1],Output,PIN_AB16,4,B4_N2,PIN_AB16,2.5 V,,,,,
HEX6[2],Output,PIN_AA16,4,B4_N2,PIN_AA16,2.5 V,,,,,
HEX6[3],Output,PIN_AB17,4,B4_N1,PIN_AB17,2.5 V,,,,,
HEX6[4],Output,PIN_AB15,4,B4_N2,PIN_AB15,2.5 V,,,,,
HEX6[5],Output,PIN_AA15,4,B4_N2,PIN_AA15,2.5 V,,,,,
HEX6[6],Output,PIN_AC17,4,B4_N2,PIN_AC17,2.5 V,,,,,
HEX7[0],Output,PIN_AD17,4,B4_N2,PIN_AD17,2.5 V,,,,,
HEX7[1],Output,PIN_AE17,4,B4_N2,PIN_AE17,2.5 V,,,,,
HEX7[2],Output,PIN_AG17,4,B4_N2,PIN_AG17,2.5 V,,,,,
HEX7[3],Output,PIN_AH17,4,B4_N2,PIN_AH17,2.5 V,,,,,
HEX7[4],Output,PIN_AF17,4,B4_N2,PIN_AF17,2.5 V,,,,,
HEX7[5],Output,PIN_AG18,4,B4_N2,PIN_AG18,2.5 V,,,,,
HEX7[6],Output,PIN_AA14,3,B3_N0,PIN_AA14,2.5 V,,,,,
SW[15],Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
SW[14],Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
SW[13],Input,PIN_AA24,5,B5_N2,PIN_AA24,2.5 V,,,,,
SW[12],Input,PIN_AB23,5,B5_N2,PIN_AB23,2.5 V,,,,,
SW[11],Input,PIN_AB24,5,B5_N2,PIN_AB24,2.5 V,,,,,
SW[10],Input,PIN_AC24,5,B5_N2,PIN_AC24,2.5 V,,,,,
SW[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,2.5 V,,,,,
SW[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,,
SW[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
SW[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
SW[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
SW[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
SW[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
SW[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
SW[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
SW[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
altera_reserved_tck,Input,,,,PIN_P5,,,,,,
altera_reserved_tdi,Input,,,,PIN_P7,,,,,,
altera_reserved_tdo,Output,,,,PIN_P6,,,,,,
altera_reserved_tms,Input,,,,PIN_P8,,,,,,
button,Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
rst,Input,PIN_Y23,5,B5_N2,PIN_Y23,2.5 V,,,,,
AUD_ADCDAT,Unknown,PIN_D2,1,B1_N0,,,,,,,
AUD_ADCLRCK,Unknown,PIN_C2,1,B1_N0,,,,,,,
AUD_BCLK,Unknown,PIN_F2,1,B1_N1,,,,,,,
AUD_DACDAT,Unknown,PIN_D1,1,B1_N0,,,,,,,
AUD_DACLRCK,Unknown,PIN_E3,1,B1_N0,,,,,,,
AUD_XCK,Unknown,PIN_E1,1,B1_N0,,,,,,,
CLOCK2_50,Unknown,PIN_AG14,3,B3_N0,,,,,,,
CLOCK3_50,Unknown,PIN_AG15,4,B4_N2,,,,,,,
EX_IO[6],Unknown,PIN_D9,8,B8_N1,,,,,,,
EX_IO[5],Unknown,PIN_E10,8,B8_N1,,,,,,,
EX_IO[4],Unknown,PIN_F14,8,B8_N0,,,,,,,
EX_IO[3],Unknown,PIN_H14,8,B8_N0,,,,,,,
EX_IO[2],Unknown,PIN_H13,8,B8_N0,,,,,,,
EX_IO[1],Unknown,PIN_J14,8,B8_N0,,,,,,,
EX_IO[0],Unknown,PIN_J10,8,B8_N1,,,,,,,
I2C_SCLK,Unknown,PIN_B7,8,B8_N1,,,,,,,
I2C_SDAT,Unknown,PIN_A8,8,B8_N1,,,,,,,
IRDA_RXD,Unknown,PIN_Y15,3,B3_N0,,,,,,,
KEY[2],Unknown,PIN_N21,6,B6_N2,,,,,,,
KEY[1],Unknown,PIN_M21,6,B6_N1,,,,,,,
KEY[0],Unknown,PIN_M23,6,B6_N2,,,,,,,
LCD_BLON,Unknown,PIN_L6,1,B1_N2,,,,,,,
LCD_DATA[7],Unknown,PIN_M5,1,B1_N2,,,,,,,
LCD_DATA[6],Unknown,PIN_M3,1,B1_N1,,,,,,,
LCD_DATA[5],Unknown,PIN_K2,1,B1_N1,,,,,,,
LCD_DATA[4],Unknown,PIN_K1,1,B1_N1,,,,,,,
LCD_DATA[3],Unknown,PIN_K7,1,B1_N1,,,,,,,
LCD_DATA[2],Unknown,PIN_L2,1,B1_N2,,,,,,,
LCD_DATA[1],Unknown,PIN_L1,1,B1_N2,,,,,,,
LCD_DATA[0],Unknown,PIN_L3,1,B1_N1,,,,,,,
LCD_EN,Unknown,PIN_L4,1,B1_N1,,,,,,,
LCD_ON,Unknown,PIN_L5,1,B1_N1,,,,,,,
LCD_RS,Unknown,PIN_M2,1,B1_N2,,,,,,,
LCD_RW,Unknown,PIN_M1,1,B1_N2,,,,,,,
LEDG[8],Unknown,PIN_F17,7,B7_N2,,,,,,,
LEDG[7],Unknown,PIN_G21,7,B7_N1,,,,,,,
LEDG[6],Unknown,PIN_G22,7,B7_N2,,,,,,,
LEDG[5],Unknown,PIN_G20,7,B7_N1,,,,,,,
LEDG[4],Unknown,PIN_H21,7,B7_N2,,,,,,,
LEDG[3],Unknown,PIN_E24,7,B7_N1,,,,,,,
LEDG[2],Unknown,PIN_E25,7,B7_N1,,,,,,,
LEDG[1],Unknown,PIN_E22,7,B7_N0,,,,,,,
LEDG[0],Unknown,PIN_E21,7,B7_N0,,,,,,,
LEDR[17],Unknown,PIN_H15,7,B7_N2,,,,,,,
LEDR[16],Unknown,PIN_G16,7,B7_N2,,,,,,,
LEDR[15],Unknown,PIN_G15,7,B7_N2,,,,,,,
LEDR[14],Unknown,PIN_F15,7,B7_N2,,,,,,,
LEDR[13],Unknown,PIN_H17,7,B7_N2,,,,,,,
LEDR[12],Unknown,PIN_J16,7,B7_N2,,,,,,,
LEDR[11],Unknown,PIN_H16,7,B7_N2,,,,,,,
LEDR[10],Unknown,PIN_J15,7,B7_N2,,,,,,,
LEDR[9],Unknown,PIN_G17,7,B7_N1,,,,,,,
LEDR[7],Unknown,PIN_H19,7,B7_N2,,,,,,,
LEDR[6],Unknown,PIN_J19,7,B7_N2,,,,,,,
LEDR[5],Unknown,PIN_E18,7,B7_N1,,,,,,,
LEDR[4],Unknown,PIN_F18,7,B7_N1,,,,,,,
LEDR[3],Unknown,PIN_F21,7,B7_N0,,,,,,,
LEDR[2],Unknown,PIN_E19,7,B7_N0,,,,,,,
LEDR[1],Unknown,PIN_F19,7,B7_N0,,,,,,,
LEDR[0],Unknown,PIN_G19,7,B7_N2,,,,,,,
SMA_CLKIN,Unknown,PIN_AH14,3,B3_N0,,,,,,,
SMA_CLKOUT,Unknown,PIN_AE23,4,B4_N0,,,,,,,
UART_CTS,Unknown,PIN_G14,8,B8_N0,,,,,,,
UART_RTS,Unknown,PIN_J13,8,B8_N0,,,,,,,
UART_RXD,Unknown,PIN_G12,8,B8_N1,,,,,,,
UART_TXD,Unknown,PIN_G9,8,B8_N2,,,,,,,
VGA_B[7],Unknown,PIN_D12,8,B8_N0,,,,,,,
VGA_B[6],Unknown,PIN_D11,8,B8_N1,,,,,,,
VGA_B[5],Unknown,PIN_C12,8,B8_N0,,,,,,,
VGA_B[4],Unknown,PIN_A11,8,B8_N0,,,,,,,
VGA_B[3],Unknown,PIN_B11,8,B8_N0,,,,,,,
VGA_B[2],Unknown,PIN_C11,8,B8_N1,,,,,,,
VGA_B[1],Unknown,PIN_A10,8,B8_N0,,,,,,,
VGA_B[0],Unknown,PIN_B10,8,B8_N0,,,,,,,
VGA_BLANK_N,Unknown,PIN_F11,8,B8_N1,,,,,,,
VGA_CLK,Unknown,PIN_A12,8,B8_N0,,,,,,,
VGA_G[7],Unknown,PIN_C9,8,B8_N1,,,,,,,
VGA_G[6],Unknown,PIN_F10,8,B8_N1,,,,,,,
VGA_G[5],Unknown,PIN_B8,8,B8_N1,,,,,,,
VGA_G[4],Unknown,PIN_C8,8,B8_N1,,,,,,,
VGA_G[3],Unknown,PIN_H12,8,B8_N1,,,,,,,
VGA_G[2],Unknown,PIN_F8,8,B8_N2,,,,,,,
VGA_G[1],Unknown,PIN_G11,8,B8_N1,,,,,,,
VGA_G[0],Unknown,PIN_G8,8,B8_N2,,,,,,,
VGA_HS,Unknown,PIN_G13,8,B8_N0,,,,,,,
VGA_R[7],Unknown,PIN_H10,8,B8_N1,,,,,,,
VGA_R[6],Unknown,PIN_H8,8,B8_N2,,,,,,,
VGA_R[5],Unknown,PIN_J12,8,B8_N0,,,,,,,
VGA_R[4],Unknown,PIN_G10,8,B8_N1,,,,,,,
VGA_R[3],Unknown,PIN_F12,8,B8_N1,,,,,,,
VGA_R[2],Unknown,PIN_D10,8,B8_N1,,,,,,,
VGA_R[1],Unknown,PIN_E11,8,B8_N1,,,,,,,
VGA_R[0],Unknown,PIN_E12,8,B8_N1,,,,,,,
VGA_SYNC_N,Unknown,PIN_C10,8,B8_N0,,,,,,,
VGA_VS,Unknown,PIN_C13,8,B8_N0,,,,,,,
